Drug,Model,Set,RMSE,MAE,MAPE,R2,Samples,Best Params
N05C,RandomForest,Test,1.1387032069136256,0.8249280527136618,5842.683164317413,-0.06416811644813802,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 70})"
N05C,XGBoost,Train,1.0685782284726872,0.774958961509278,5661.007785061807,0.08740214836120896,1259,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.025852821238500356, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
N05C,XGBoost,Validation,1.0167731448169626,0.7795366857023466,5833.335051039226,-0.027209459364487598,420,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.025852821238500356, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
N05C,XGBoost,Test,1.117791065250756,0.8168665847852483,5907.642563162864,-0.02544039882301874,420,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.025852821238500356, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
N05C,KNN,Train,1.0709176258084312,0.7359842467543288,5827.556275155346,0.08340194344433016,1259,"OrderedDict({'n_neighbors': 20, 'p': 2, 'weights': 'uniform'})"
N05C,KNN,Validation,1.0423022118733984,0.7504315476188095,5979.426420688065,-0.07943922306674334,420,"OrderedDict({'n_neighbors': 20, 'p': 2, 'weights': 'uniform'})"
N05C,KNN,Test,1.1618310224923976,0.8214930555547619,6456.13190342457,-0.10783502739558037,420,"OrderedDict({'n_neighbors': 20, 'p': 2, 'weights': 'uniform'})"
R03,RandomForest,Train,5.959265382510315,4.321854556613589,11368.78677558015,0.18322378592287525,1259,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 9, 'n_estimators': 299})"
R03,RandomForest,Validation,5.8506367765121885,4.379743309941966,11093.273782717972,0.0721767231613033,420,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 9, 'n_estimators': 299})"
R03,RandomForest,Test,6.172850453208163,4.529267981374489,11432.656318134766,0.02605583650435339,420,"OrderedDict({'max_depth': 4, 'min_samples_leaf': 10, 'min_samples_split': 9, 'n_estimators': 299})"
R03,XGBoost,Train,5.974860329104869,4.337707393414671,11402.0486787569,0.17894330929933688,1259,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.034292532636814976, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
R03,XGBoost,Validation,5.830460292506982,4.355599279251516,11018.958279370885,0.07856506446264289,420,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.034292532636814976, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
R03,XGBoost,Test,6.157051253250799,4.543757835263113,11319.245428500393,0.03103500998768083,420,"OrderedDict({'colsample_bytree': 1.0, 'learning_rate': 0.034292532636814976, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.5})"
R03,KNN,Train,6.1420755453129745,4.376737490078873,11188.37206905497,0.13234327528143497,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
R03,KNN,Validation,5.9768011461574195,4.41972718254,10576.198290371278,0.031729716210623926,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
R03,KNN,Test,6.315149154028222,4.57026785714,11155.071966112497,-0.019365128769350815,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'uniform'})"
R06,RandomForest,Train,1.8897543356140825,1.4707451070776656,6264.009078443905,0.32026443895848766,1259,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50})"
R06,RandomForest,Validation,2.0239613892169874,1.5536204506910822,6517.92538516693,0.290339376426918,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50})"
R06,RandomForest,Test,2.296610071116144,1.6976461957711195,6188.288013861514,0.3086304479479487,420,"OrderedDict({'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50})"
R06,XGBoost,Train,1.8277279102194512,1.4154652108100663,6059.612176204637,0.36415336427621126,1259,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5})"
R06,XGBoost,Validation,2.0032951069311715,1.5366448746273231,6403.603013596378,0.30475780432147015,420,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5})"
R06,XGBoost,Test,2.2907401243010024,1.686176325300872,6194.48697517472,0.31216009906905506,420,"OrderedDict({'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.5})"
R06,KNN,Train,0.0,0.0,0.0,1.0,1259,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
R06,KNN,Validation,2.0462749970701406,1.5701124616901962,6478.629052900227,0.2746055016015655,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
R06,KNN,Test,2.3069577131860224,1.7122116102813383,6214.689631763056,0.30238632192908643,420,"OrderedDict({'n_neighbors': 20, 'p': 1, 'weights': 'distance'})"
